"","datetime","city","country","shape"
"57269",1996-06-24,"aurora","us","changed"
"80098",2012-08-07,"29 palms",NA,"changing"
"37827",2000-03-29,"aberdeen","us","changing"
"3867",2008-10-21,"abilene","us","changing"
"29470",2010-02-14,"abilene","us","changing"
"86034",2003-09-25,"abilene","us","changing"
"14978",2009-11-28,"abu dhabi (uae)",NA,"changing"
"48264",2006-05-20,"accrington&#44 lancashire (uk/england)",NA,"changing"
"10316",1974-11-15,"aiken","us","changing"
"15526",2001-11-03,"akron","us","changing"
"88979",2009-09-09,"akron","us","changing"
"15203",2011-11-29,"alameda","us","changing"
"63316",1996-07-15,"alamogordo","us","changing"
"64489",2009-07-18,"albany","us","changing"
"65585",2011-07-02,"albertville","us","changing"
"12261",2006-01-01,"albuquerque","us","changing"
"15065",2013-11-28,"albuquerque","us","changing"
"22647",2013-12-24,"albuquerque","us","changing"
"66255",2009-07-24,"albuquerque","us","changing"
"51808",2005-06-10,"alexanria",NA,"changing"
"36884",2002-03-23,"allegany","us","changing"
"50059",1999-05-30,"allen","us","changing"
"12929",2009-11-20,"alligator alley",NA,"changing"
"21699",1997-01-22,"altus afb",NA,"changing"
"34139",2005-03-01,"amarillo","us","changing"
"6811",2010-10-03,"amelia","us","changing"
"17994",2011-01-18,"american canyon","us","changing"
"21005",2013-12-18,"ames","us","changing"
"12294",2007-01-01,"amityville","us","changing"
"86759",2008-09-28,"anacortes","us","changing"
"34118",2004-03-01,"anaheim","us","changing"
"4486",2006-10-23,"anchorage","us","changing"
"23878",2000-12-31,"anchorage","us","changing"
"76053",2012-08-21,"andover","us","changing"
"579",1974-10-01,"ankara (turkey)",NA,"changing"
"21224",2006-01-02,"ann arbor","us","changing"
"60338",2008-06-07,"annapolis","us","changing"
"2456",2011-10-15,"anson","us","changing"
"15829",2013-11-03,"anthony","us","changing"
"20061",2000-12-14,"antler lake (canada)",NA,"changing"
"36846",1987-03-23,"apache junction","us","changing"
"25878",2008-01-27,"apalachicola","us","changing"
"68983",2009-07-04,"apalachicola","us","changing"
"82124",2012-09-12,"aptos","us","changing"
"46837",2013-05-13,"area 51 (general area; in flight)",NA,"changing"
"17186",2012-11-06,"arizona city","us","changing"
"38302",2011-03-31,"arizona city","us","changing"
"32929",2003-02-06,"arkport","us","changing"
"19849",2003-12-13,"arlington","us","changing"
"66669",1997-07-26,"arlington","us","changing"
"79845",2012-08-06,"arouca (trinidad/tobago)",NA,"changing"
"13250",2002-11-02,"arroyo grande","us","changing"
"15119",2002-11-29,"asbury","us","changing"
"79314",2011-08-04,"asheville","us","changing"
"88337",2013-09-06,"asheville","us","changing"
"39893",2005-04-11,"ashland","us","changing"
"46296",2003-05-01,"ashland","us","changing"
"50241",2003-05-31,"ashland","us","changing"
"60070",2004-06-06,"ashland","us","changing"
"33329",2009-02-08,"ashnurn",NA,"changing"
"78474",2008-08-30,"ashtabula","us","changing"
"86797",2010-09-28,"atikokan (canada)","ca","changing"
"12227",2004-01-01,"atlanta","us","changing"
"14316",2003-11-25,"atlanta","us","changing"
"27233",2001-01-04,"atlanta","us","changing"
"58353",1964-06-29,"atlanta","us","changing"
"65810",2010-07-22,"atlantic beach","us","changing"
"77801",2011-08-27,"atwater","us","changing"
"75597",2004-08-20,"atwater village",NA,"changing"
"14589",2012-11-26,"auburn","us","changing"
"30002",2009-02-16,"auburn","us","changing"
"40814",2010-04-14,"auburn","us","changing"
"40822",2010-04-14,"auburn","us","changing"
"87605",2011-09-03,"aulander","us","changing"
"40048",1974-04-01,"aurora","us","changing"
"282",2012-10-10,"austin","us","changing"
"8028",2004-10-09,"austin","us","changing"
"21047",2003-12-19,"austin","us","changing"
"29352",2001-02-14,"austin","us","changing"
"35740",2013-03-17,"austin","us","changing"
"49079",2005-05-24,"austin","us","changing"
"77910",2002-08-28,"austin","us","changing"
"88803",2013-09-08,"austin","us","changing"
"41254",2012-04-15,"austin/florence",NA,"changing"
"9965",2010-11-13,"australia",NA,"changing"
"59873",2010-06-05,"australia",NA,"changing"
"57806",2003-06-26,"avalon","us","changing"
"4770",2008-10-24,"avila beach","us","changing"
"66761",2005-07-26,"avinger (lake o&#39 the pinext)","us","changing"
"42327",2013-04-20,"avon","us","changing"
"83972",1996-09-19,"avon lake","us","changing"
"62942",1962-07-15,"avon-by-the-sea","us","changing"
"80308",2003-08-08,"aztalan state park",NA,"changing"
"52590",1980-06-01,"baadon",NA,"changing"
"5503",2013-10-27,"bagheria (italy)",NA,"changing"
"78875",1967-08-03,"bagsv&aelig;rd (denmark)",NA,"changing"
"44571",2014-04-03,"bahamas",NA,"changing"
"37570",2006-03-27,"baie d&#39urfe (canada)",NA,"changing"
"13985",2009-11-23,"bainbridge island",NA,"changing"
"2519",1998-10-16,"baker/stateline (between)",NA,"changing"
